Profile,Height,Width,Web,Flange,Radius_1,Radius_2
IPE 100,100,55,4.1,5.7,,
IPE 120,120,64,4.4,6.3,,
IPE 140,140,73,4.7,6.9,,
IPE 160,160,82,5,7.4,,
IPE 180,180,91,5.3,8,,
IPE 200,200,100,5.6,8.5,,
IPE 220,220,110,5.9,9.2,,
IPE 240,240,120,6.2,9.8,,
IPE 270,270,135,6.6,10.2,,
IPE 300,300,150,7.1,10.7,,
IPE 330,330,160,7.5,11.5,,
IPE 360,360,170,8,12.7,,
IPE 400,400,180,8.6,13.5,,
IPE 450,450,190,9.4,14.6,,
IPE 500,500,200,10.2,16,,
IPE 550,550,210,11.1,17.2,,
IPE 600,600,220,12,19,,
IPE 750 x 134,750,264,12,15.5,,
IPE 750 x 147,753,265,13.2,17,,
IPE 750 x 173,762,267,14.4,21.6,,
IPE 750 x 196,770,268,15.6,25.4,,
IPE 80,80,46,3.8,5.2,,
IPE A 100,98,55,3.6,4.7,,
IPE A 120,117.6,64,3.8,5.1,,
IPE A 140,137.4,73,3.8,5.6,,
IPE A 160,157,82,4,5.9,,
IPE A 180,177,91,4.3,6.5,,
IPE A 200,197,100,4.5,7,,
IPE A 220,217,110,5,7.7,,
IPE A 240,237,120,5.2,8.3,,
IPE A 270,267,135,5.5,8.7,,
IPE A 300,297,150,6.1,9.2,,
IPE A 330,327,160,6.5,10,,
IPE A 360,357.6,170,6.6,11.5,,
IPE A 400,397,180,7,12,,
IPE A 450,447,190,7.6,13.1,,
IPE A 500,497,200,8.4,14.5,,
IPE A 550,547,210,9,15.7,,
IPE A 600,597,220,9.8,17.5,,
IPE A 80,78,46,3.3,4.2,,
IPE AA 100,97.6,55,3.6,4.5,,
IPE AA 120,117,64,3.8,4.8,,
IPE AA 140,136.6,73,3.8,5.2,,
IPE AA 160,156.4,82,4,5.6,,
IPE AA 180,176.4,91,4.3,6.2,,
IPE AA 200,196.4,100,4.5,6.7,,
IPE AA 220,216.4,110,4.7,7.4,,
IPE AA 240,236.4,120,4.8,8,,
IPE AA 80,78,46,3.2,4.2,,
IPE AAA 100,97,55,3.6,4.5,,
IPE AAA 120,117,64,3.5,4.6,,
IPE AAA 140,136,73,3.5,5,,
IPE AAA 160,156,82,3.7,5.4,,
IPE AAA 180,176,91,3.9,6,,
IPE AAA 200,196,100,4.1,6.5,,
IPE AAA 80,78,46,3,4,,
IPE AAAA 100,96,55,2.9,3.6,,
IPE AAAA 120,115,64,3,3.9,,
IPE AAAA 140,134,73,3.3,4.1,,
IPE AAAA 160,154,82,3.6,4.3,,
IPE AAAA 180,174,91,3.9,4.9,,
IPE AAAA 200,193,100,4.1,5.2,,
IPE AAAA 80,76,46,2.9,3.1,,
IPE O 180,182,92,6,9,,
IPE O 200,202,102,6.2,9.5,,
IPE O 220,222,112,6.6,10.2,,
IPE O 240,242,122,7,10.8,,
IPE O 270,274,136,7.5,12.2,,
IPE O 300,304,152,8,12.7,,
IPE O 330,334,162,8.5,13.5,,
IPE O 360,364,172,9.2,14.7,,
IPE O 400,404,182,9.7,15.5,,
IPE O 450,456,192,11,17.6,,
IPE O 500,506,202,12,19,,
IPE O 550,556,212,12.7,20.2,,
IPE O 600,610,224,15,24,,
IPE V 400,408,182,10.6,17.5,,
IPE V 450,460,194,12.4,19.6,,
IPE V 500,514,204,14.2,23,,
IPE V 550,566,216,17.1,25.2,,
IPE V 600,618,228,18,28,,
IPN 80,80,42,3.9,5.9,3.9,2.3
IPN 100,100,50,4.5,6.8,4.5,2.7
IPN 120,120,58,5.1,7.7,5.1,3.1
IPN 140,140,66,5.7,8.6,5.7,3.4
IPN 160,160,74,6.3,9.5,6.3,3.8
IPN 180,180,82,6.9,10.4,6.9,4.1
IPN 200,200,90,7.5,11.3,7.5,4.5
IPN 220,220,98,8.1,12.2,2,<1
IPN 240,240,106,8.7,13.1,2,<1
IPN 260,260,113,9.4,14.1,2,<1
IPN 280,280,119,10.1,15.2,2,<1
IPN 300,300,125,10.8,16.2,2,<1
IPN 320,320,131,11.5,17.3,2,<1
IPN 340,340,137,12.2,18.3,2,<1
IPN 360,360,143,13,19.5,2,<1
IPN 380,380,149,13.7,20.5,2,<1
IPN 400,400,155,14.4,21.6,2,<1
IPN 450,450,170,16.2,24.3,2,<1
IPN 500,500,185,18,27,2,<1
IPN 550,550,200,19,30,2,<1
IPN 600,600,215,21.6,32.4,2,<1
HEA100,96,100,5,8,12,
HEA120,114,120,5,8,12,
HEA140,133,140,5.5,8.5,12,
HEA160,152,160,6,9,15,
HEA180,171,180,6,9.5,15,
HEA200,190,200,6.5,10,18,
HEA220,210,220,7,11,18,
HEA240,230,240,7.5,12,21,
HEA260,250,260,7.5,12.5,24,
HEA280,270,280,8,13,24,
HEA300,290,300,8.5,14,27,
HEA320,310,300,9,15.5,27,
HEA340,330,300,9.5,16.5,27,
HEA360,350,300,10,17.5,27,
HEA400,390,300,11,19,27,
HEA450,440,300,11.5,21,27,
HEA500,490,300,12,23,27,
HEA550,540,300,12.5,24,27,
HEA600,590,300,13,25,27,
HEA650,640,300,13.5,26,27,
HEA700,690,300,14.5,27,27,
HEA800,790,300,15,28,30,
HEA900,890,300,16,30,30,
HEA1000,990,300,16.5,31,30,
HEB100,100,100,6,10,12,
HEB120,120,120,6.5,11,12,
HEB140,140,140,7,12,12,
HEB160,160,160,8,13,15,
HEB180,180,180,8.5,14,15,
HEB200,200,200,9,15,18,
HEB220,220,220,9.5,16,18,
HEB240,240,240,10,17,21,
